AV,SiOSi_std,SiOSi_min,g_dft,SiO_gmean,SiOSi_gmean,SiOSi_skew,k_dft,SiOSi_average,spg,SiOSi_hmean,largest_included_sphere,SiOSi_var,mode_dim,SiO_var,SiOSi_max,NASA,VolFrac,volume,SiO_mean,NAV,max_dim,SiO_min,SiO_skew,ASA,largest_included_sphere_free,SiOSi_mean,SiO_average,density,min_dim,SiO_max,largest_free_sphere,SiO_std,SiO_hmean
0,14.37678603,119.6611981,42.51961619,1.612975442,146.1425001,0.163257936,44.67969977,146.8453371,4,145.4406936,2.91829,206.6919766,0,0.000106224,174.4759271,0,0,14.46483806,1.61300825,0.00013918,0,1.601755815,0.864730049,0,2.91829,146.8453371,1.61300825,2.299192139,0,1.634566049,2.07275,0.010306522,1.612942754
0,13.23601461,118.1729221,44.25865266,1.6063,143.0120329,-0.065308815,63.24954344,143.6294042,4,142.3872928,2.909,175.1920829,0,0.00021783,166.6534073,0,0,15.36397879,1.606367588,0.000129353,0,1.582112036,0.534018989,0,2.53631,143.6294042,1.606367588,2.164637324,0,1.636555582,1.64753,0.014759075,1.606232624
0.0018639,12.95823502,119.7402794,16.05883978,1.613802086,140.9650998,0.235011734,24.73789232,141.5546669,4,140.3792194,3.10902,167.9158547,1,4.41E-05,170.6669633,0,0.00424,14.61983647,1.613815716,0,1,1.60479048,0.676587736,0,3.10902,141.5546669,1.613815716,2.274816275,1,1.627604848,2.6278,0.006638884,1.61378848
0,13.06808915,124.4305532,33.05271531,1.614003971,141.6960188,0.480328733,59.09129943,142.2829473,4,141.1228286,1.66885,170.7749541,0,5.72E-05,168.8694277,0,0,12.31167292,1.614021629,0,0,1.607479397,1.206011219,0,1.55836,142.2829473,1.614021629,2.701293493,0,1.629517217,0.93559,0.00756406,1.613986379
0,16.18045447,118.4558314,38.11455862,1.614143331,144.7763162,0.302764701,35.60190783,145.6658124,4,143.8958695,2.87965,261.8071068,0,0.00012024,176.0995215,0,0,12.98834989,1.614180417,0.000101541,0,1.600131914,0.957391929,0,2.87965,145.6658124,1.614180417,2.560559442,0,1.636758643,2.58958,0.010965416,1.614106405
0,14.39837194,123.6402336,20.33178402,1.614317429,142.4312657,0.428455484,29.00292357,143.1386803,4,141.7435185,1.44032,207.3131144,0,0.000252175,167.8640242,0,0,12.40378814,1.614395816,0,0,1.583714734,-0.541369914,0,1.43033,143.1386803,1.614395816,2.681232667,0,1.63764949,0.98369,0.01588001,1.614238754
0,11.7169772,118.7151615,30.25838213,1.611507758,137.9763369,0.155588399,48.90323517,138.4706964,4,137.4838995,1.58803,137.2875546,0,0.000222151,159.955287,0,0,12.04614369,1.61157655,0,0,1.59179917,0.320508265,0,1.26281,138.4706964,1.61157655,2.760837228,0,1.637058231,1.09135,0.014904714,1.611439099
0,15.51665554,124.6815077,29.08828953,1.615629193,146.3402329,0.288538656,29.39029967,147.1471872,5,145.5478463,2.78573,240.7665993,0,0.000176854,172.6219129,0,0,15.02609728,1.615683974,9.04E-06,0,1.594130791,-0.156975403,0,2.75101,147.1471872,1.615683974,2.213312035,0,1.636221495,1.77379,0.013298652,1.615574364
0,12.97260443,122.2308278,31.83008203,1.614421061,145.3588985,0.160537755,34.08859266,145.9346802,5,144.7838433,3.32857,168.2884658,0,8.86E-05,172.9482648,0,0,14.98162516,1.614448464,0.0012253,0,1.601629776,0.441554044,0,3.3227,145.9346802,1.614448464,2.219882128,0,1.637257047,2.18096,0.009414384,1.614393703
0,14.43463105,121.1009756,32.28200144,1.614832196,146.3852879,-0.077289179,46.10582897,147.1023246,5,145.661035,1.57158,208.3585736,0,0.000382076,169.1287106,0,0,12.09101554,1.614951061,0,0,1.584600055,-0.587692068,0,1.32213,147.1023246,1.614951061,2.750591283,0,1.635958509,0.42682,0.019546754,1.614712768
0,13.78234673,122.979795,27.89835306,1.623238202,142.0904438,0.298117616,20.41255588,142.7476978,5,141.4428357,1.80925,189.9530814,0,0.000635752,171.1071156,0,0,12.1500715,1.623434998,0,0,1.571529637,-0.468125501,0,1.80925,142.7476978,1.623434998,2.737221913,0,1.65811364,0.66781,0.025214125,1.623040421
0,17.26249896,124.2858645,34.16461602,1.618337089,142.8702016,0.362422341,43.96456511,143.882236,5,141.8892049,1.67186,297.9938702,0,0.002261798,168.0753493,0,0,11.39422688,1.61901602,0,0,1.578847405,1.507367067,0,1.63488,143.882236,1.61901602,2.91879759,0,1.740057017,0.90405,0.047558359,1.617677295
0,13.51523574,123.0854989,29.92451274,1.616713166,143.0546928,0.355729876,56.51890216,143.6803662,5,142.440248,2.54397,182.6615972,0,0.000168838,168.5829947,0,0,13.55298427,1.616765543,0,0,1.59321891,-0.569687669,0,2.28803,143.6803662,1.616765543,2.453883314,0,1.63440587,0.75417,0.012993764,1.616660628
0,13.73906689,122.9594063,34.35938816,1.614617989,143.7309466,0.27790604,47.74349863,144.3779891,5,143.0916162,2.30235,188.7619589,0,0.000159323,172.3348057,0,0,14.42320114,1.614667415,0,0,1.593137929,-0.34108214,0,2.30235,144.3779891,1.614667415,2.305829449,0,1.632034427,1.06438,0.01262231,1.614568474
0,13.54245162,123.3666202,37.45964121,1.61718892,142.5708723,0.19178389,51.24306813,143.2070024,5,141.9409836,1.57261,183.3979959,0,0.000378629,163.1396407,0,0,12.2168195,1.617306538,0,0,1.588281427,-0.586699745,0,1.57261,143.2070024,1.617306538,2.722266784,0,1.638108543,0.57988,0.019458399,1.617070747
0,13.13699806,129.265195,29.58097671,1.609044394,140.1533222,0.974650016,25.73026154,140.7339822,5,139.6053893,3.08267,172.5807181,0,8.93E-05,167.5353494,0,0,13.98487374,1.609072164,0.000605528,0,1.594246331,-0.323653194,0,3.08267,140.7339822,1.609072164,2.378100981,0,1.622131422,0.78485,0.009447363,1.609016589
0,13.76721461,125.3222792,42.07938311,1.619333302,144.301943,0.037377873,50.78643435,144.9582557,5,143.6449771,1.59877,189.536198,0,0.000247388,166.100793,0,0,12.15862462,1.619409781,0,0,1.595635706,-0.188444397,0,1.59877,144.9582557,1.619409781,2.735296383,0,1.637367644,0.93675,0.01572858,1.61925673
0,14.98840626,124.319897,22.82600485,1.614588758,144.4924997,0.077163988,22.6152353,145.2659449,5,143.7228216,3.26495,224.6523222,0,0.000345367,170.2369038,0,0,15.38718836,1.614695851,0.00122145,0,1.585768954,-0.169642604,0,3.25136,145.2659449,1.614695851,2.161372252,0,1.640676031,2.36969,0.01858406,1.614481523
0,13.40682572,119.8235209,37.8552385,1.613947081,143.4097324,-0.313955527,64.34311103,144.0503787,5,142.7533256,2.87967,179.742976,0,0.000231255,163.7377212,0,0,14.27935449,1.614018841,0.000111634,0,1.591237883,-0.260019205,0,2.87967,144.0503787,1.614018841,2.329057799,0,1.630830748,1.19817,0.015207073,1.613875203
0.0144114,13.39139867,135.7471276,41.01682659,1.605917925,153.0205307,0.262884128,41.09967528,153.5981264,5,152.4507324,3.99308,179.3295582,1,1.91E-05,178.5720676,36.4599,0.0266,18.01815571,1.605923875,0,1,1.596686105,-0.874921751,0,3.99308,153.5981264,1.605923875,1.845773922,1,1.613594674,3.42454,0.004368318,1.605911964
0,13.41488062,125.2001133,58.48570298,1.612849159,146.6804859,0.252739965,7.65265385,147.2867797,5,146.0791283,2.89502,179.959022,0,0.000115695,174.7054114,0,0,15.11797896,1.612884847,0.000209105,0,1.600001717,1.130802444,0,2.89502,147.2867797,1.612884847,2.199860315,0,1.637052082,2.4267,0.010756179,1.612813648
0,11.89045722,124.7653042,29.58856862,1.60424342,145.0677836,-0.19196382,36.23267256,145.5612045,5,144.5672327,2.78519,141.3829729,0,0.000227209,165.9286257,0,0,15.46615298,1.604313706,0.000158116,0,1.585318534,1.207562634,0,2.77862,145.5612045,1.604313706,2.150337061,0,1.636329414,1.45874,0.015073457,1.604173659
0,13.12676485,122.7655662,18.86337569,1.612766989,146.8588704,-0.164451056,21.22251486,147.4539253,5,146.2526748,3.19541,172.3119553,0,0.00010291,170.809143,0,0,15.10294362,1.6127988,0.000626692,0,1.602487275,0.701265981,0,3.19541,147.4539253,1.6127988,2.202050328,0,1.630015942,1.72404,0.010144465,1.612735271
0,13.23538504,120.0501698,22.50856465,1.617619819,142.9348083,0.354722451,35.1171678,143.5361119,5,142.3429942,2.60416,175.1754171,0,0.000258515,167.3115649,0,0,13.86776524,1.617700073,0,0,1.579389606,-0.647115529,0,2.57678,143.5361119,1.617700073,2.398183224,0,1.637837242,1.38035,0.016078388,1.617539212
0,11.88165087,124.9580609,27.24057578,1.604524546,140.7380734,0.791383451,42.84327712,141.2193169,5,140.2752435,2.81862,141.1736275,0,4.24E-05,166.9932239,0,0,14.55406836,1.604537751,5.25E-05,0,1.592799017,-0.035176637,0,2.80081,141.2193169,1.604537751,2.2850959,0,1.615245517,1.67184,0.006509269,1.60451134
0,17.05238101,116.3474793,33.90068039,1.614119178,143.1233569,0.441417156,44.77403457,144.1077126,5,142.1662707,2.22037,290.7836982,0,0.000350556,175.2838285,0,0,13.2968191,1.614227978,0,0,1.583939646,-0.24703765,0,2.20781,144.1077126,1.614227978,2.501157736,0,1.638452917,1.01566,0.01872314,1.614010168
0,15.48932374,119.6231745,28.71679076,1.614744003,141.1667168,0.293157835,50.48142897,142.0005616,5,140.3466194,1.26088,239.9191498,0,0.000723713,168.9540777,0,0,11.74701845,1.61496862,0,0,1.581992425,-0.214600185,0,1.22496,142.0005616,1.61496862,2.83113899,0,1.643003651,0.34818,0.026901917,1.614518876
0,15.52195358,122.5052438,20.21972297,1.613873397,144.3026257,0.361269875,36.70217472,145.117162,5,143.5070541,2.0018,240.931043,0,0.000690747,171.5036792,0,0,13.5237043,1.61408814,0,0,1.581042238,-0.321678534,0,2.0018,145.117162,1.61408814,2.45919618,0,1.64303343,1.09919,0.026282063,1.613657923
0,13.7600821,124.4885344,32.77750157,1.614662981,142.3998495,0.524124687,48.70865157,143.0446429,5,141.77279,1.93331,189.3398594,0,0.00039862,169.2264855,0,0,12.36114293,1.614786546,0,0,1.585432841,-0.1220221,0,1.93331,143.0446429,1.614786546,2.69048276,0,1.641747757,0.83767,0.019965478,1.614539287
0,13.36327367,125.1925774,33.20881765,1.613642392,145.2063227,0.131812422,50.98624849,145.8163834,5,144.6009529,2.97991,178.5770831,0,0.000104608,166.2743018,0,0,14.11332231,1.613674763,0.000169747,0,1.60021355,0.314444108,0,2.97855,145.8163834,1.613674763,2.35645734,0,1.630127124,1.03058,0.010227815,1.613610064
0.054134,11.27833994,129.801959,38.26597509,1.61166333,153.089193,-0.505330116,44.7514167,153.5162392,5,152.6491599,6.04583,127.2009519,1,0.000129666,169.7291321,0,0.09764,18.43864066,1.611703373,0,1,1.600570061,0.980809369,434.226,6.04583,153.5162392,1.611703373,1.803681874,1,1.633234129,5.81018,0.011387113,1.611623471
0,12.75576641,120.4380512,30.24765753,1.609333903,140.2087883,0.129303422,42.09911321,140.7854438,5,139.634766,1.60011,162.7095767,0,0.00023514,162.0486252,0,0,12.01611674,1.609407164,0,0,1.581132225,-0.437510961,0,1.55778,140.7854438,1.609407164,2.767736255,0,1.632680438,0.77707,0.015334274,1.609260432
0,18.01084693,117.3247138,38.85665374,1.616836605,142.0568792,0.323895814,54.21260636,143.1687524,5,140.9735174,1.37323,324.3906071,0,0.000307739,172.189625,0,0,12.03027325,1.616931977,0,0,1.593403037,-0.297914543,0,1.37027,143.1687524,1.616931977,2.764479347,0,1.638143218,0.51202,0.017542502,1.616741028
0,14.91358607,118.4607997,24.11964227,1.617404442,142.6300972,0.388895727,64.8171693,143.3910072,7,141.8855584,2.17264,222.4150495,0,0.000379295,169.7857064,0,0,12.40929705,1.617522343,0,0,1.578816206,-0.680015169,0,2.17264,143.3910072,1.617522343,2.680042376,0,1.640618176,1.93044,0.019475487,1.617285885
0,13.42776868,127.1686655,34.10514365,1.605819345,141.8772411,1.317098767,35.74391647,142.466523,8,141.328261,3.0147,180.3049716,0,5.47E-05,175.916069,0,0,14.04322846,1.605836409,0.00019424,0,1.592867748,-0.817818266,0,2.97414,142.466523,1.605836409,2.368219107,0,1.612786157,1.77928,0.007393501,1.605802239
0,13.71596072,124.7917215,52.7521867,1.613883334,142.5085739,0.755090616,58.66592628,143.1388799,8,141.9058489,2.72254,188.1275785,0,0.000239911,169.2864545,0,0,14.08707519,1.613957753,8.47E-06,0,1.592896777,-0.192154361,0,2.72254,143.1388799,1.613957753,2.360847904,0,1.632425183,0.85007,0.015489064,1.613808826
0,13.5979471,125.35495,26.947459,1.609426628,141.3049412,0.708328403,38.76483804,141.9331061,8,140.6996841,3.34406,184.9041654,0,7.00E-05,174.8728197,0,0,13.51877713,1.609448261,0.000349582,0,1.5998141,1.467799816,0,3.31697,141.9331061,1.609448261,2.460092479,0,1.628602763,1.51901,0.008365923,1.609405103
0,13.0049669,122.4163071,36.72126998,1.612442225,142.3634166,0.277327711,46.99500522,142.9494485,9,141.7834441,2.41875,169.129164,0,0.00021493,170.2318906,0,0,13.91933655,1.612509034,0,0,1.589930858,-0.397808972,0,2.28463,142.9494485,1.612509034,2.389297926,0,1.633865689,1.22774,0.014660503,1.612375252
0,13.22610669,125.1357329,35.8183022,1.607416793,143.1103015,0.407284589,30.06676547,143.7078848,9,142.5246693,2.34764,174.9298982,0,0.000201082,168.4888066,0,0,13.18178674,1.607479153,0,0,1.586833436,0.5201337,0,2.34764,143.7078848,1.607479153,2.522984373,0,1.635999828,1.31238,0.014180332,1.607354618
0,12.8795195,123.3746439,28.44148665,1.61298344,144.5941813,0.022291471,26.99359168,145.1680289,9,144.0190962,2.54469,165.8820227,0,0.000205278,168.3285965,0,0,12.76481854,1.613047108,0,0,1.592229215,-0.09121687,0,2.52057,145.1680289,1.613047108,2.605398725,0,1.633065686,0.8186,0.014327532,1.612919739
0,13.0227446,124.2463907,20.58019658,1.614484388,141.5767948,0.768958171,34.93698953,142.1501637,9,141.0265669,2.79192,169.5918769,0,5.89E-05,171.7918571,0,0,13.96732967,1.614502655,8.40E-06,0,1.59866508,-0.700823209,0,2.79192,142.1501637,1.614502655,2.381088063,0,1.625922761,1.99511,0.007671427,1.614466081
